epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7034,3.33731,5.12701,4.17281,0.00114,0.2,0.00079,0.00015,3.27362,4.24469,4.16836,0.000658333,0.000658333,0.000658333
2,112.297,3.39697,4.34496,4.24654,0.00121,0.2,0.00104,0.00017,3.28658,4.14742,4.17655,0.00131188,0.00131188,0.00131188
3,158.794,3.23504,4.6436,3.85644,0.00909,0.04,0.00715,0.00207,3.49996,275.899,8.98267,0.00195223,0.00195223,0.00195223
4,205.543,3.38629,4.34689,3.93262,0.00174,0.36,0.00245,0.00049,3.80949,5.02167,16.5644,0.0019406,0.0019406,0.0019406
5,253.712,3.29117,4.11367,3.9406,0.007,0.4,0.00589,0.00119,3.71146,1435.9,33.8198,0.0019208,0.0019208,0.0019208
6,298.9,3.35347,4.12371,3.77654,0.00117,0.28,0.00079,0.00015,3.72134,316.91,11.7551,0.001901,0.001901,0.001901
7,345.317,3.167,3.82203,3.79887,0.0129,0.24,0.01115,0.00308,3.18548,440.448,10.3814,0.0018812,0.0018812,0.0018812
8,390.398,3.16612,3.84669,3.73151,0.00612,0.44,0.02172,0.00593,3.14016,243.715,7.58294,0.0018614,0.0018614,0.0018614
9,436.044,3.14362,3.72092,3.5375,0.00761,0.4,0.02072,0.0071,3.15725,186.552,6.62913,0.0018416,0.0018416,0.0018416
10,480.128,3.09541,3.99923,3.38187,0.00909,0.44,0.00851,0.00262,3.19221,146.837,6.78746,0.0018218,0.0018218,0.0018218
11,524.361,2.87178,3.80993,3.29455,0.02039,0.36,0.01762,0.00624,3.0411,69.2767,5.87371,0.001802,0.001802,0.001802
12,567.994,3.03393,3.60225,3.49419,0.01587,0.32,0.0205,0.00607,2.79738,51.1236,4.59767,0.0017822,0.0017822,0.0017822
13,611.582,2.64288,3.56127,3.28024,0.02579,0.64,0.03553,0.00697,2.61483,28.8808,4.09628,0.0017624,0.0017624,0.0017624
14,655.842,2.76156,3.45286,3.41543,0.01909,0.08,0.00937,0.00197,2.97638,28.523,4.31093,0.0017426,0.0017426,0.0017426
15,699.72,2.77799,3.33724,3.28124,0.0209,0.4,0.05881,0.01393,2.68485,46.4903,4.00774,0.0017228,0.0017228,0.0017228
16,743.609,2.98216,3.62815,3.3335,0.03317,0.16,0.02944,0.0088,2.78127,20.0104,4.1456,0.001703,0.001703,0.001703
17,786.936,2.71244,3.5579,3.11423,0.05869,0.36,0.03015,0.00708,2.76531,16.1106,3.81497,0.0016832,0.0016832,0.0016832
18,830.775,2.79518,3.30733,3.23389,0.06306,0.16,0.02864,0.00918,2.72139,4.24999,3.43392,0.0016634,0.0016634,0.0016634
19,874.476,2.8443,3.3169,3.12995,0.0481,0.44,0.13361,0.02934,2.49908,25.974,3.87825,0.0016436,0.0016436,0.0016436
20,918.269,2.78699,3.27478,3.1981,0.08472,0.24,0.06908,0.02536,2.67685,13.2816,3.78778,0.0016238,0.0016238,0.0016238
21,962.251,2.78663,3.28266,3.15249,0.23111,0.08,0.07081,0.02429,2.4963,4.74594,3.16684,0.001604,0.001604,0.001604
22,1005.85,2.88718,3.27621,3.15591,0.06537,0.16,0.03716,0.01429,2.38855,9.55949,3.01046,0.0015842,0.0015842,0.0015842
23,1049.86,2.81441,3.10802,3.13756,0.02616,0.12,0.0192,0.00552,2.53689,4.04936,3.0644,0.0015644,0.0015644,0.0015644
24,1093.67,2.73447,3.19285,3.03718,0.08092,0.2,0.04126,0.01064,2.56169,3.36701,3.08908,0.0015446,0.0015446,0.0015446
25,1145.83,2.57508,3.20544,3.01151,0.13817,0.16,0.16117,0.04417,2.58283,3.02622,3.05746,0.0015248,0.0015248,0.0015248
26,1206.78,2.71497,3.07795,3.10603,0.25104,0.32,0.19333,0.07277,2.49446,3.06107,3.04789,0.001505,0.001505,0.001505
27,1253.05,2.54083,3.10053,2.81927,0.45088,0.19731,0.18147,0.06475,2.35362,3.07529,3.06352,0.0014852,0.0014852,0.0014852
28,1301.3,2.57297,3.01658,2.88401,0.15687,0.24,0.1073,0.03777,2.27982,6.83739,2.99775,0.0014654,0.0014654,0.0014654
29,1351.94,2.76502,3.113,3.01941,0.10925,0.48,0.14936,0.06249,2.38057,3.57404,2.99916,0.0014456,0.0014456,0.0014456
30,1403.64,2.52196,2.9233,2.79567,0.1632,0.32,0.12736,0.04841,2.43481,3.19427,3.01809,0.0014258,0.0014258,0.0014258
31,1456.8,2.49993,2.94932,2.80952,0.41119,0.16,0.13255,0.05299,2.45446,3.59984,3.00476,0.001406,0.001406,0.001406
32,1513.88,2.72519,3.08345,2.94997,0.36442,0.16,0.1612,0.07461,2.45946,4.15493,2.95994,0.0013862,0.0013862,0.0013862
33,1559.91,2.67298,2.96113,2.93356,0.17972,0.16,0.13858,0.05236,2.37943,5.82641,2.83426,0.0013664,0.0013664,0.0013664
34,1605.59,2.40411,3.06413,2.79532,0.39801,0.16,0.18663,0.07671,2.45925,4.09721,2.89563,0.0013466,0.0013466,0.0013466
35,1658.25,2.59006,3.01303,2.91756,0.35316,0.16,0.16982,0.07153,2.49109,2.99718,2.95018,0.0013268,0.0013268,0.0013268
36,1704.09,2.69324,3.0691,2.96285,0.2354,0.24,0.1499,0.06219,2.42945,2.89023,2.92245,0.001307,0.001307,0.001307
37,1760.55,2.41288,2.85327,2.77174,0.18824,0.12,0.10338,0.05117,2.27545,3.12053,2.85606,0.0012872,0.0012872,0.0012872
38,1814.28,2.3773,2.89049,2.70165,0.13709,0.2,0.0862,0.03875,2.38101,3.34848,2.87009,0.0012674,0.0012674,0.0012674
39,1864.73,2.60254,2.83367,2.82243,0.28827,0.24,0.16786,0.09503,2.25935,3.32331,2.74097,0.0012476,0.0012476,0.0012476
40,1910.68,2.33135,2.92063,2.73837,0.35059,0.2,0.17509,0.08608,2.31378,3.11382,2.77404,0.0012278,0.0012278,0.0012278
41,1967.09,2.44419,2.83414,2.75327,0.29709,0.24,0.1488,0.05501,2.48765,2.93246,2.98858,0.001208,0.001208,0.001208
42,2028.07,2.48182,2.8306,2.93276,0.14005,0.24,0.08931,0.03618,2.44195,2.95732,2.99888,0.0011882,0.0011882,0.0011882
43,2090.93,2.56034,2.96903,2.87256,0.73007,0.16,0.18707,0.06687,2.27738,3.36602,2.94274,0.0011684,0.0011684,0.0011684
44,2139.8,2.55242,2.79831,2.8821,0.25041,0.16,0.15556,0.063,2.33118,6.41157,2.88525,0.0011486,0.0011486,0.0011486
45,2197.01,2.41751,2.88969,2.67577,0.2931,0.16,0.14767,0.07249,2.25592,5.41586,2.78925,0.0011288,0.0011288,0.0011288
46,2244.41,2.47964,2.72683,2.83354,0.22376,0.16,0.13174,0.05844,2.19132,8.1785,2.73225,0.001109,0.001109,0.001109
47,2291.84,2.38937,2.84522,2.69316,0.27922,0.24,0.16508,0.05066,2.43351,3.43998,2.86097,0.0010892,0.0010892,0.0010892
48,2341.05,2.47104,2.66716,2.80521,0.20037,0.28,0.13128,0.03909,2.30575,4.03483,2.83949,0.0010694,0.0010694,0.0010694
49,2384.14,2.47691,2.63479,2.77739,0.31727,0.24,0.18336,0.07034,2.23891,2.85487,2.7998,0.0010496,0.0010496,0.0010496
50,2431.02,2.41736,2.82584,2.74846,0.38144,0.2,0.21989,0.10133,2.21477,3.17655,2.73845,0.0010298,0.0010298,0.0010298
51,2478.81,2.36642,2.62655,2.73735,0.49562,0.24,0.2395,0.07503,2.40916,2.77924,2.89498,0.00101,0.00101,0.00101
52,2528.19,2.39708,2.74103,2.74507,0.4203,0.16,0.20045,0.0807,2.52628,2.68632,3.00911,0.0009902,0.0009902,0.0009902
53,2574.66,2.43347,2.55675,2.71753,0.29974,0.28,0.19153,0.07632,2.44173,2.83281,2.88503,0.0009704,0.0009704,0.0009704
54,2623.73,2.38138,2.774,2.67703,0.31859,0.32,0.24474,0.09946,2.33542,3.04186,2.78283,0.0009506,0.0009506,0.0009506
55,2672.09,2.41402,2.75989,2.60259,0.26293,0.32,0.21174,0.08514,2.20252,3.08741,2.766,0.0009308,0.0009308,0.0009308
56,2718.26,2.39936,2.60795,2.62086,0.2538,0.32,0.17057,0.06809,2.17619,2.96954,2.72874,0.000911,0.000911,0.000911
57,2764.47,2.15509,2.6708,2.52522,0.207,0.28,0.1655,0.06215,2.23506,3.27816,2.80744,0.0008912,0.0008912,0.0008912
58,2811.7,2.28839,2.67355,2.61069,0.29066,0.32,0.16996,0.06063,2.30256,2.95655,2.88324,0.0008714,0.0008714,0.0008714
59,2861.86,2.41709,2.64394,2.71492,0.23297,0.24,0.12557,0.0367,2.25233,5.90802,2.90874,0.0008516,0.0008516,0.0008516
60,2907.92,2.25896,2.56384,2.53577,0.34214,0.24,0.14684,0.04732,2.18622,5.63018,2.83971,0.0008318,0.0008318,0.0008318
61,2959.37,2.47036,2.73366,2.64306,0.29522,0.24,0.15107,0.04767,2.18181,4.88961,2.8145,0.000812,0.000812,0.000812
62,3010.94,2.29753,2.57565,2.70265,0.34724,0.36,0.25993,0.09767,2.20066,3.35297,2.76045,0.0007922,0.0007922,0.0007922
63,3054.77,2.30891,2.55962,2.59238,0.19569,0.4,0.13903,0.05233,2.17113,4.41214,2.80699,0.0007724,0.0007724,0.0007724
64,3099.55,2.22467,2.6595,2.57747,0.25493,0.32,0.15382,0.06195,2.09041,3.4841,2.80372,0.0007526,0.0007526,0.0007526
65,3151.69,2.17545,2.51325,2.5109,0.29316,0.32,0.17826,0.06931,2.20937,2.89572,2.8704,0.0007328,0.0007328,0.0007328
66,3201.69,2.20337,2.47872,2.54758,0.31313,0.36,0.28592,0.11752,2.06531,2.75054,2.68371,0.000713,0.000713,0.000713
67,3251.43,2.19284,2.54455,2.58713,0.60997,0.24,0.2555,0.10479,2.15402,4.74606,2.66635,0.0006932,0.0006932,0.0006932
68,3301.01,2.21711,2.56902,2.60775,0.38902,0.32,0.27522,0.13462,2.08597,3.32692,2.63597,0.0006734,0.0006734,0.0006734
69,3351.9,2.21545,2.56514,2.66319,0.59717,0.28,0.2921,0.12616,2.19674,3.51485,2.69793,0.0006536,0.0006536,0.0006536
70,3405.48,2.04551,2.59159,2.53627,0.4427,0.28629,0.27798,0.11901,2.25917,3.11275,2.76136,0.0006338,0.0006338,0.0006338
